datetime;timestamp;price_diff;buy_samples;sell_samples;buy_qty;sell_qty;buy_vwap;sell_vwap;bid_samples;bid_open;bid_close;bid_min;bid_median;bid_max;ask_samples;ask_open;ask_close;ask_min;ask_median;ask_max;spread_samples;spread_open;spread_close;spread_min;spread_median;spread_max;bid_liq_0.0_samples;bid_liq_0.0_open;bid_liq_0.0_close;bid_liq_0.0_min;bid_liq_0.0_median;bid_liq_0.0_max;ask_liq_0.0_samples;ask_liq_0.0_open;ask_liq_0.0_close;ask_liq_0.0_min;ask_liq_0.0_median;ask_liq_0.0_max;diff_liq_0.0_samples;diff_liq_0.0_open;diff_liq_0.0_close;diff_liq_0.0_min;diff_liq_0.0_median;diff_liq_0.0_max;bid_liq_0.005_samples;bid_liq_0.005_open;bid_liq_0.005_close;bid_liq_0.005_min;bid_liq_0.005_median;bid_liq_0.005_max;ask_liq_0.005_samples;ask_liq_0.005_open;ask_liq_0.005_close;ask_liq_0.005_min;ask_liq_0.005_median;ask_liq_0.005_max;diff_liq_0.005_samples;diff_liq_0.005_open;diff_liq_0.005_close;diff_liq_0.005_min;diff_liq_0.005_median;diff_liq_0.005_max;bid_liq_0.01_samples;bid_liq_0.01_open;bid_liq_0.01_close;bid_liq_0.01_min;bid_liq_0.01_median;bid_liq_0.01_max;ask_liq_0.01_samples;ask_liq_0.01_open;ask_liq_0.01_close;ask_liq_0.01_min;ask_liq_0.01_median;ask_liq_0.01_max;diff_liq_0.01_samples;diff_liq_0.01_open;diff_liq_0.01_close;diff_liq_0.01_min;diff_liq_0.01_median;diff_liq_0.01_max;bid_liq_0.02_samples;bid_liq_0.02_open;bid_liq_0.02_close;bid_liq_0.02_min;bid_liq_0.02_median;bid_liq_0.02_max;ask_liq_0.02_samples;ask_liq_0.02_open;ask_liq_0.02_close;ask_liq_0.02_min;ask_liq_0.02_median;ask_liq_0.02_max;diff_liq_0.02_samples;diff_liq_0.02_open;diff_liq_0.02_close;diff_liq_0.02_min;diff_liq_0.02_median;diff_liq_0.02_max;bid_liq_0.03_samples;bid_liq_0.03_open;bid_liq_0.03_close;bid_liq_0.03_min;bid_liq_0.03_median;bid_liq_0.03_max;ask_liq_0.03_samples;ask_liq_0.03_open;ask_liq_0.03_close;ask_liq_0.03_min;ask_liq_0.03_median;ask_liq_0.03_max;diff_liq_0.03_samples;diff_liq_0.03_open;diff_liq_0.03_close;diff_liq_0.03_min;diff_liq_0.03_median;diff_liq_0.03_max;bid_liq_0.04_samples;bid_liq_0.04_open;bid_liq_0.04_close;bid_liq_0.04_min;bid_liq_0.04_median;bid_liq_0.04_max;ask_liq_0.04_samples;ask_liq_0.04_open;ask_liq_0.04_close;ask_liq_0.04_min;ask_liq_0.04_median;ask_liq_0.04_max;diff_liq_0.04_samples;diff_liq_0.04_open;diff_liq_0.04_close;diff_liq_0.04_min;diff_liq_0.04_median;diff_liq_0.04_max
2025-08-31 21:06:00;1756663560;0.0;1;1;0.00123;0.00021;108942.59000000001;108942.57999999999;58;108942.58;108942.58;108942.58;108942.58;108942.58;58;108942.59;108942.59;108942.59;108942.59;108942.59;58;0.00999999999476131;0.00999999999476131;0.00999999999476131;0.00999999999476131;0.00999999999476131;58;0.04373;0.06023;0.03217;0.06018;0.06023;58;1.72629;1.58737;1.58737;1.72506;1.72629;58;1.68256;1.52714;1.52714;1.6648800000000001;1.69412;58;0.1235;0.19453;0.12329;0.15679;0.19902;58;2.3392;2.20028;2.20028;2.33797;2.3392;58;2.2157;2.00575;2.00575;2.18118;2.21591;58;0.41772;0.48875;0.41751;0.45101;0.49324;58;2.6088;2.46988;2.46988;2.60757;2.6088;58;2.19108;1.9811299999999998;1.9811299999999998;2.15656;2.19129;58;5.43524;5.56446;5.43503;5.56446;5.9794;58;6.2316;7.1068;6.2316;7.175644999999999;7.24572;58;0.79636;1.5423399999999994;0.7630699999999999;1.353155;1.7615499999999997;58;8.93847;8.99424;8.53952;8.95881;9.00369;58;9.38383;11.29475;8.98988;10.41299;11.43713;58;0.4453599999999991;2.300510000000001;0.41294000000000075;1.4398350000000004;2.50849;58;11.69407;11.74984;11.29512;11.71441;11.75929;58;12.34763;13.26229;11.95368;13.26012;13.40467;58;0.6535600000000006;1.5124499999999994;0.6211400000000005;1.5708150000000005;1.7204300000000003
2025-08-31 21:06:15;1756663575;1.430000000007567;11;2;0.07542;0.00467;108943.49289843543;108944.01000000002;104;108942.58;108944.01;108942.58;108944.01;108944.01;104;108942.59;108944.02;108942.59;108944.02;108944.02;104;0.00999999999476131;0.010000000009313226;0.00999999999476131;0.010000000009313226;0.010000000009313226;104;0.06023;2.42117;0.06023;2.42112;2.42117;104;1.58737;0.20755;0.00018;0.23133;1.58737;104;1.52714;-2.21362;-2.2143699999999997;-2.1680800000000002;1.52714;104;0.19453;2.5386;0.19453;2.5386;3.55154;104;2.20028;0.30194;0.23244;0.29125;2.20028;104;2.00575;-2.23666;-3.3191;-2.2473;2.00575;104;0.48875;3.24174;0.48875;3.24174;3.94105;104;2.46988;0.86512;0.39028;0.6939;2.46988;104;1.9811299999999998;-2.37662;-3.5325100000000003;-2.49947;1.9811299999999998;104;5.56446;8.60481;5.56446;8.202885;8.9812;104;7.1068;2.64343;1.90185;2.46675;7.1068;104;1.5423399999999994;-5.96138;-6.80527;-5.81241;1.5423399999999994;104;8.99424;12.27414;8.99424;12.05829;12.73587;104;11.29475;6.10378;5.45681;6.41631;11.29475;104;2.300510000000001;-6.170359999999999;-6.97164;-5.59837;2.300510000000001;104;11.74984;14.93224;11.74984;15.15449;15.83311;104;13.26229;9.5618;7.86307;9.21277;13.26229;104;1.5124499999999994;-5.37044;-7.6226199999999995;-5.924029999999998;1.5124499999999994
2025-08-31 21:06:30;1756663590;0.21000000000640284;20;0;0.11180999999999999;0.0;108944.02;0.0;103;108944.01;108944.22;108944.01;108944.01;108944.22;103;108944.02;108944.23;108944.02;108944.02;108944.23;103;0.010000000009313226;0.00999999999476131;0.00999999999476131;0.010000000009313226;0.010000000009313226;103;2.42117;1.80596;1.78395;2.38106;2.42117;103;0.20755;0.20279;0.00015;0.20755;0.23029;103;-2.21362;-1.60317;-2.38091;-2.18106;-1.5536599999999998;103;2.5386;2.01796;1.98247;2.56615;2.58586;103;0.30194;0.32214;0.09454;0.31635;0.35339;103;-2.23666;-1.6958199999999999;-2.47146;-2.2466999999999997;-1.66033;103;3.24174;2.88531;2.84982;3.25775;3.5135;103;0.86512;0.67534;0.44798;0.79931;0.86512;103;-2.37662;-2.20997;-3.06537;-2.47512;-2.19283;103;8.60481;7.15476;7.11927;8.60484;8.63083;103;2.64343;2.81429;2.30624;2.64353;2.81429;103;-5.96138;-4.34047;-5.989889999999999;-5.950659999999999;-4.32333;103;12.27414;10.80953;10.77404;12.25941;12.2856;103;6.10378;6.03184;4.85319;6.10378;6.30492;103;-6.170359999999999;-4.777690000000001;-6.4944500000000005;-6.0482;-4.760549999999999;103;14.93224;13.46763;13.43214;14.91751;14.9437;103;9.5618;9.55242;8.37377;9.72282;9.8255;103;-5.37044;-3.91521;-5.489369999999999;-5.172929999999999;-3.8980700000000006
2025-08-31 21:06:45;1756663605;7.769999999989523;13;0;0.35355000000000003;0.0;108945.50194739076;0.0;100;108944.22;108951.99;108944.22;108944.22;108951.99;100;108944.23;108952.0;108944.23;108944.23;108952.0;100;0.00999999999476131;0.00999999999476131;0.00999999999476131;0.00999999999476131;0.00999999999476131;100;1.80596;1.83132;1.77713;1.80466;2.47474;100;0.20279;0.00048;0.00043;0.20177;0.52669;100;-1.60317;-1.83084;-2.35229;-1.60317;-1.2504400000000002;100;2.01796;2.29983;1.98913;2.00529;3.54368;100;0.32214;0.07818;0.05228;0.32112;0.66439;100;-1.6958199999999999;-2.22165;-3.3543600000000002;-1.68558;-1.32474;100;2.88531;3.48444;2.48414;2.65992;3.75633;100;0.67534;0.23533;0.21347;0.67386;1.07924;100;-2.20997;-3.2491100000000004;-3.3909;-1.996675;-1.4049;100;7.15476;6.98143;5.83109;7.15476;8.36213;100;2.81429;2.82392;1.19505;2.812845;3.13819;100;-4.34047;-4.157509999999999;-7.16708;-4.759405;-3.6154;100;10.80953;9.46653;8.51368;10.80953;11.71104;100;6.03184;6.19082;3.91999;6.03184;6.59629;100;-4.777690000000001;-3.27571;-7.56837;-4.824295;-2.966140000000001;100;13.46763;11.97414;11.02129;13.46763;15.08179;100;9.55242;8.222;6.90935;9.44464;9.94303;100;-3.91521;-3.7521400000000007;-8.12375;-4.794530000000001;-3.123429999999999
2025-08-31 21:07:00;1756663620;18.080000000016298;49;2;0.017429999999999998;0.00023999999999999998;108958.14295467586;108968.94333333334;127;108951.99;108970.07;108951.99;108970.07;108970.07;127;108952.0;108970.08;108952.0;108970.08;108970.08;127;0.00999999999476131;0.00999999999476131;0.00999999999476131;0.00999999999476131;0.010000000009313226;127;1.83132;1.69692;1.37824;1.69692;2.58722;127;0.00048;0.04652;0.00021;0.00034;0.05301;127;-1.83084;-1.6504;-2.58618;-1.69671;-1.37764;127;2.29983;2.01672;2.01672;2.15099;5.79408;127;0.07818;0.17882;0.02642;0.11086;0.17882;127;-2.22165;-1.8378999999999999;-5.74101;-2.06603;-1.8378999999999999;127;3.48444;3.75723;3.15149;3.88914;6.90089;127;0.23533;0.40177;0.10779;0.2804;0.86838;127;-3.2491100000000004;-3.35546;-6.394410000000001;-3.4768299999999996;-2.9887799999999998;127;7.37593;6.92855;6.86739;7.30085;10.23105;127;2.82392;3.2686;2.25197;3.19641;3.49677;127;-4.55201;-3.6599500000000003;-7.303369999999999;-4.10445;-3.65835;127;9.73878;8.93907;8.50926;9.29437;13.09341;127;6.19082;6.67163;5.27615;6.61884;7.66998;127;-3.54796;-2.267439999999999;-7.1217500000000005;-2.5105399999999998;-1.8789699999999998;127;12.24639;12.82997;11.48136;12.93595;15.08883;127;8.62501;8.39259;7.35247;8.20053;8.82945;127;-3.6213800000000003;-4.437379999999999;-7.003659999999999;-4.80297;-3.31616
2025-08-31 21:07:15;1756663635;1.9199999999837019;10;0;0.00134;0.0;108971.48417910447;0.0;121;108970.07;108971.99;108970.07;108970.07;108971.99;121;108970.08;108972.0;108970.08;108970.08;108972.0;121;0.00999999999476131;0.00999999999476131;0.00999999999476131;0.00999999999476131;0.00999999999476131;121;1.69692;2.18909;1.69692;1.69952;2.18909;121;0.04652;0.05157;0.00036;0.02691;0.05229;121;-1.6504;-2.1375200000000003;-2.1640200000000003;-1.6877099999999998;-1.6504;121;2.01672;2.73702;1.95551;2.01672;3.18105;121;0.17882;0.31593;0.13266;0.21184;0.31665;121;-1.8378999999999999;-2.42109;-2.8644;-1.8726599999999998;-1.71472;121;3.75723;3.26498;3.24532;3.50904;3.75723;121;0.40177;0.42932;0.33436;0.40283;1.13528;121;-3.35546;-2.83566;-3.37981;-3.0926;-2.1297800000000002;121;6.92855;7.15162;6.60573;7.15162;7.85409;121;3.2686;3.08812;2.81425;3.28327;3.63593;121;-3.6599500000000003;-4.0635;-4.49082;-3.94767;-3.2767900000000005;121;8.93907;10.32452;8.515;9.44538;10.77686;121;6.67163;6.61173;6.30984;6.81516;7.19612;121;-2.267439999999999;-3.71279;-3.933439999999999;-2.3487600000000004;-1.7536700000000005;121;12.82997;13.43065;12.4059;13.33628;13.88299;121;8.39259;8.90567;7.84879;8.43935;9.00944;121;-4.437379999999999;-4.524979999999999;-5.313879999999999;-4.505319999999999;-4.122449999999999
2025-08-31 21:07:30;1756663650;14.0;31;2;0.11283;0.029580000000000002;108975.93461136223;108985.98999999999;104;108971.99;108985.99;108971.99;108985.99;108985.99;104;108972.0;108986.0;108972.0;108986.0;108986.0;104;0.00999999999476131;0.00999999999476131;0.00999999999476131;0.00999999999476131;0.28999999999359716;104;2.18909;0.82655;0.62581;1.74151;2.32835;104;0.04699;0.66045;0.00021;0.05273;0.80208;104;-2.1421;-0.16610000000000003;-2.2752499999999998;-1.68873;0.17627000000000004;104;2.73702;0.97805;0.77731;2.16995;3.96567;104;0.31135;0.78467;0.02611;0.31135;0.9078;104;-2.4256699999999998;-0.19338;-3.84664;-2.02529;0.1304900000000001;104;3.26498;2.11852;1.63859;3.07529;4.81565;104;0.42474;1.02942;0.10232;0.42474;1.15255;104;-2.84024;-1.0891000000000002;-4.29493;-2.417475;-0.5754699999999999;104;7.15162;6.32112;4.93537;7.151605;8.19991;104;3.08354;3.74129;1.23133;3.08354;3.82442;104;-4.06808;-2.57983;-5.072489999999999;-4.0680499999999995;-1.79047;104;10.32452;8.93597;7.10937;10.032425;11.96686;104;6.60715;7.65774;3.93358;6.817655;7.73582;104;-3.71737;-1.2782299999999989;-5.619400000000001;-2.9793700000000003;-0.13578000000000046;104;13.43065;11.63692;10.27331;12.848835000000001;14.01699;104;8.90109;9.61512;5.79824;9.09492;9.67998;104;-4.52956;-2.0218000000000007;-5.9866399999999995;-3.79078;-0.7571700000000003
2025-08-31 21:07:45;1756663665;0.0;1;1;0.0001;5e-05;108986.0;108985.99;91;108985.99;108985.99;108985.99;108985.99;108985.99;91;108986.0;108986.0;108986.0;108986.0;108986.0;91;0.00999999999476131;0.00999999999476131;0.00999999999476131;0.00999999999476131;0.00999999999476131;91;0.82655;0.84554;0.70778;0.82655;1.1781;91;0.68011;0.73048;0.65965;0.73078;0.91509;91;-0.14644000000000001;-0.11505999999999994;-0.5181999999999999;-0.08778999999999992;0.17972;91;0.97805;1.02287;0.86316;0.9954;1.35141;91;0.80433;0.93495;0.77018;0.9536;1.11956;91;-0.17371999999999999;-0.08792;-0.58108;-0.04620999999999997;0.2564000000000001;91;2.11852;2.16334;2.00363;2.13587;2.49188;91;1.04908;1.43866;0.98748;1.18068;1.62327;91;-1.0694400000000002;-0.7246799999999998;-1.50425;-0.9074199999999997;-0.4156199999999999;91;6.32112;6.36594;6.20623;6.33847;6.69448;91;3.76095;4.24176;3.69935;3.82132;4.39905;91;-2.56017;-2.12418;-2.9949800000000004;-2.4693799999999997;-1.9393700000000003;91;8.93597;8.89115;8.45585;8.86544;9.30746;91;7.6774;7.97235;7.17838;7.74462;8.12964;91;-1.2585699999999997;-0.9188000000000001;-1.6430300000000004;-1.0724799999999997;-0.7339900000000004;91;11.63692;12.59625;11.23122;12.56873;12.92078;91;9.63478;9.92841;9.13576;9.66447;10.0857;91;-2.0021400000000007;-2.66784;-3.2989700000000006;-2.84952;-1.9389699999999994
2025-08-31 21:08:00;1756663680;7.2700000000040745;25;5;0.13279;0.20068;108987.1408125612;108985.99244219654;108;108985.99;108993.26;108985.99;108985.99;108993.26;108;108986.0;108993.27;108986.0;108986.0;108993.27;108;0.00999999999476131;0.010000000009313226;0.00999999999476131;0.00999999999476131;0.010000000009313226;108;0.84554;2.56349;0.61802;1.011825;2.94159;108;0.73048;0.1535;0.00389;0.639165;0.75967;108;-0.11505999999999994;-2.4099899999999996;-2.90558;-0.31297;0.12210999999999994;108;1.02287;3.07398;0.77324;1.1670449999999999;3.9433;108;0.93495;0.23176;0.08837;0.8394999999999999;0.98252;108;-0.08792;-2.84222;-3.8424899999999997;-0.27875999999999995;0.1897399999999999;108;2.16334;4.38385;1.88077;2.284105;4.7782;108;1.43866;0.40447;0.19899;1.23666;1.48623;108;-0.7246799999999998;-3.97938;-4.53725;-0.9818649999999999;-0.4557200000000001;108;6.36594;9.48162;5.99119;6.978759999999999;9.60471;108;4.24176;2.11768;1.71694;2.83454;4.24176;108;-2.12418;-7.3639399999999995;-7.73423;-4.05226;-2.12418;108;8.48332;10.78875;8.10857;9.55587;11.26548;108;7.5614;5.9483;5.54646;6.74824;7.9794;108;-0.921920000000001;-4.840450000000001;-5.51737;-2.6961549999999996;-0.8025799999999998;108;12.18842;13.95177;11.82653;13.13405;14.69566;108;9.51746;7.9072;7.03157;9.31804;9.96679;108;-2.670960000000001;-6.04457;-7.336639999999999;-3.8442599999999993;-1.8597400000000004
2025-08-31 21:08:15;1756663695;0.0;3;0;0.00792;0.0;108993.27;0.0;101;108993.26;108993.26;108993.26;108993.26;108993.26;101;108993.27;108993.27;108993.27;108993.27;108993.27;101;0.010000000009313226;0.010000000009313226;0.010000000009313226;0.010000000009313226;0.010000000009313226;101;2.54168;2.56844;2.54168;2.56844;2.56844;101;0.1535;0.12436;0.12436;0.15211;0.17306;101;-2.3881799999999997;-2.44408;-2.44408;-2.41633;-2.3881799999999997;101;2.71427;2.64101;2.63606;2.64101;2.71427;101;0.23176;0.17672;0.17672;0.23166;0.25132;101;-2.48251;-2.46429;-2.48251;-2.4044;-2.38969;101;3.94414;4.59473;3.82396;4.53603;4.59473;101;0.43201;0.37691;0.3444;0.43191;0.45157;101;-3.51213;-4.217820000000001;-4.25033;-4.09903;-3.39195;101;8.28431;9.39373;8.28431;9.3357;9.39373;101;2.42442;2.36933;2.1872;2.42432;2.44399;101;-5.85989;-7.0244;-7.15599;-6.906109999999999;-5.85989;101;10.29616;11.65922;10.29616;11.50942;11.65922;101;6.25504;5.3237;5.31085;6.25086;6.27461;101;-4.04112;-6.33552;-6.348369999999999;-5.2533900000000004;-4.04112;101;12.75441;13.90757;12.62353;13.75777;13.90757;101;8.30627;8.25515;7.85742;8.27331;8.39693;101;-4.44814;-5.652419999999999;-5.707099999999999;-5.38242;-4.317260000000001
